Persona que regenta una abacería	abacero	
Sentimiento de pena o tristeza que produce la ausencia de la patria o de las personas queridas	nostalgia	
Escrito breve que recuerda o avisa de algo	nota	
Mueble, generalmente de madera, que se compone de una tabla horizontal sostenida por una o varias patas	mesa	
Camarero	mesero	
Puerco, sucio, desaseado	chancho	
Oportunidad u ocasión	chance	
Calzado que no pasa del tobillo, con la parte inferior de suela y lo demás de piel, tela u otro material	zapato	
Que computa o efectúa operaciones matemáticas	computador	
Nombre común de diversas especies de reptiles escamosos ofidios de cuerpo cilíndrico y alargado, cabeza triangular y con dos dientes retráctiles y huecos en forma de gancho con los que al morder inoculan el veneno que producen en una glándula con la que están conectados	vibora	
Producto que se obtiene de la leche cuajada	queso	
Que tiene o hace tornasoles	tornasolado	
Viento impetuoso giratorio, huracán	tornado	
Que brilla o resplandece mucho	rutilante	
[Ladrón] que hurta con maña cosas de poco valor	ratero	
Meseta o llanura extensa con gran abundancia de vegetación herbácea, fundamentalmente gramíneas, con arbustos y árboles aislados, como los baobabs y las acacias	sabana	
Que tiene la capacidad de compeler u obligar a hacer algo	compulsivo	
De los antiguos pueblos indoeuropeos cuyo apogeo se localizó en el centro y oeste de Europa entre los siglos vi y i a. C., o relativo a ellos.	celta	
De Mesoamérica o relativo a la región de las altas culturas	mesoamericano	
De la vía o relativo a ella	vial	
Armazón plana de cañas o palos sobre la cual se pega papel o tela y que se lanza al aire para que este la eleve sujeta por un hilo largo	cometa	
Principio, inicio u origen de una cosa	comienzo	
Conjunto de cosas que se comen	comida	
Operación quirúrgica para la esterilización de los varones, consistente en la sección y ligadura de los conductos deferentes por los que salen los espermatozoides del testículo	vasectomia	
Recipiente pequeño de forma cilíndrica, generalmente de vidrio, usado para beber	vaso	
Nombre común de diversas especies de mamíferos roedores de pelaje gris, de unos 20 cm, muy fecundos y ágiles, que generalmente viven en las casas o en el campo.	raton	
Lugar, generalmente cercado, destinado a enterrar cadáveres.	cementerio	
